Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Justin Minaya,MXC,24,15,13,502,61,133,0.459,20,65,0.308,41,68,0.603,0.534,6,14,0.429,14,42,56,32,32,21,14,35,152,
Josh Minott,IWA,22,8,6,230,59,113,0.522,5,19,0.263,54,94,0.574,0.544,15,21,0.714,21,34,55,14,9,14,12,21,148,
Davion Mintz,CCG,29,15,1,269,48,100,0.48,13,40,0.325,35,60,0.583,0.545,15,21,0.714,8,20,28,24,7,0,16,14,132,
Trhae Mitchell,RGV,21,13,11,422,36,83,0.434,6,32,0.188,30,51,0.588,0.47,7,8,0.875,20,70,90,23,21,9,13,44,89,
Isaiah Mobley,CLC,28,12,11,369,88,163,0.54,13,38,0.342,75,125,0.6,0.58,33,46,0.717,32,65,97,49,9,13,33,38,239,
Aminu Mohammed,DEL,29,9,0,45,19,31,0.613,0,2,0,19,29,0.655,0.613,1,4,0.25,7,10,17,1,2,0,5,4,39,
Iverson Molinar,WIS,27,11,5,229,41,84,0.488,1,9,0.111,40,75,0.533,0.494,8,11,0.727,7,21,28,25,8,2,17,14,97,
Chima Moneke,STO,26,3,2,56,6,16,0.375,0,1,0,6,15,0.4,0.375,2,4,0.5,6,8,14,3,1,0,2,5,15,
Moses Moody,SCW,20,2,2,65,15,41,0.366,7,18,0.389,8,23,0.348,0.451,5,7,0.714,3,8,11,2,1,1,7,7,46,
Xavier Moon,ONT,20,20,11,630,169,322,0.525,38,90,0.422,131,232,0.565,0.584,34,41,0.829,18,66,84,107,32,27,53,41,432,
Taze Moore,TEX,21,15,14,501,100,181,0.552,32,69,0.464,68,112,0.607,0.641,15,23,0.652,34,82,116,51,24,11,31,32,254,
Wendell Moore Jr.,IWA,26,4,3,136,30,70,0.429,6,26,0.231,24,44,0.545,0.471,10,12,0.833,3,16,19,31,3,1,13,6,82,
Zeke Moore,SCW,21,11,7,313,52,99,0.525,16,42,0.381,36,57,0.632,0.606,12,14,0.857,10,22,32,32,3,0,14,23,141,
Alex Morales,LAK,29,17,6,406,43,97,0.443,3,15,0.2,40,82,0.488,0.459,13,17,0.765,42,55,97,36,22,4,20,56,108,
Juwan Morgan,ONT,25,3,1,53,5,12,0.417,1,5,0.2,4,7,0.571,0.458,2,3,0.667,5,8,13,4,1,2,3,7,14,
Darryl Morsell,RAP,22,15,0,285,32,83,0.386,10,30,0.333,22,53,0.415,0.446,9,13,0.692,18,32,50,34,13,4,19,30,90,
Isaiah Mucius,CCG,27,9,0,65,11,26,0.423,4,16,0.25,7,10,0.7,0.5,2,2,1,3,5,8,1,0,1,4,6,30,
Emmanuel Mudiay,IWA,29,14,8,408,75,162,0.463,14,47,0.298,61,115,0.53,0.506,17,21,0.81,15,56,71,77,11,5,34,21,194,
Mychal Mulder,SXF,28,19,19,679,103,248,0.415,78,201,0.388,25,47,0.532,0.573,23,31,0.742,7,57,64,36,19,11,30,35,326,
Jordan Murphy,AUS,25,15,2,255,59,106,0.557,2,8,0.25,57,98,0.582,0.566,18,35,0.514,31,49,80,7,9,14,23,26,151,
Shabazz Napier,MXC,21,10,2,305,68,143,0.476,32,68,0.471,36,75,0.48,0.587,31,38,0.816,2,20,22,47,19,3,29,17,223,
Ikenna Ndugba,SCW,23,3,0,15,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,0,2,2,1,3,0,0,1,4,
Landry Nnoko,GLI,28,3,1,48,4,10,0.4,0,0,,4,10,0.4,0.4,2,3,0.667,5,7,12,3,2,4,4,6,12,
Obadiah Noel,WES,23,19,10,529,82,166,0.494,24,61,0.393,58,105,0.552,0.566,19,30,0.633,22,31,53,40,31,3,32,43,221,
David Nwaba,MCC,30,18,18,619,109,201,0.542,13,43,0.302,96,158,0.608,0.575,42,55,0.764,37,108,145,59,28,19,38,51,302,
Josh Nzeakor,TOT,28,16,11,397,52,86,0.605,0,0,,52,86,0.605,0.605,20,28,0.714,42,59,101,35,9,3,27,47,133,
Josh Nzeakor,BIR,21,6,1,108,18,27,0.667,0,0,,18,27,0.667,0.667,5,6,0.833,8,19,27,6,3,0,12,13,43,
Josh Nzeakor,TEX,22,10,10,289,34,59,0.576,0,0,,34,59,0.576,0.576,15,22,0.682,34,40,74,29,6,3,15,34,90,
Shawn Occeus,RGV,21,17,4,267,17,47,0.362,6,26,0.231,11,21,0.524,0.426,5,10,0.5,15,24,39,19,10,7,2,19,47,
Alex O'Connell,STO,20,20,4,413,62,136,0.456,25,68,0.368,37,68,0.544,0.548,11,13,0.846,20,65,85,31,19,4,32,24,167,
Norense Odiase,GBO,27,5,0,63,4,7,0.571,0,0,,4,7,0.571,0.571,1,3,0.333,3,13,16,2,2,1,2,7,9,
Chuma Okeke,LAK,24,2,0,44,9,19,0.474,4,11,0.364,5,8,0.625,0.579,3,3,1,2,7,9,4,4,1,1,1,28,
KZ Okpala,STO,24,2,1,58,4,16,0.25,0,4,0,4,12,0.333,0.25,2,3,0.667,3,7,10,3,1,0,0,4,12,
Cameron Oliver,SBL,26,12,0,229,50,81,0.617,3,13,0.231,47,68,0.691,0.636,10,14,0.714,21,43,64,10,9,11,22,32,121,
Eugene Omoruyi,OKL,25,8,5,181,45,104,0.433,4,20,0.2,41,84,0.488,0.452,14,18,0.778,21,29,50,11,7,0,21,18,119,
Nuni Omot,WES,28,13,3,254,33,82,0.402,12,38,0.316,21,44,0.477,0.476,15,16,0.938,10,31,41,21,6,2,17,21,105,
Shareef O'Neal,GLI,23,9,1,121,17,32,0.531,0,2,0,17,30,0.567,0.531,12,16,0.75,9,14,23,8,7,1,8,26,51,
EJ Onu,TOT,23,7,0,74,7,16,0.438,4,9,0.444,3,7,0.429,0.563,2,5,0.4,2,10,12,3,2,5,2,4,21,
EJ Onu,MHU,23,2,0,8,1,2,0.5,1,1,1,0,1,0,0.75,0,0,,0,0,0,1,0,0,1,1,3,
EJ Onu,SCW,23,5,0,66,6,14,0.429,3,8,0.375,3,6,0.5,0.536,2,5,0.4,2,10,12,2,2,5,1,3,18,
Gabe Osabuohien,CLC,22,18,7,331,26,64,0.406,0,0,,26,64,0.406,0.406,19,30,0.633,38,43,81,43,21,11,28,54,86,
Daniel Oturu,WCB,23,12,1,214,46,81,0.568,1,3,0.333,45,78,0.577,0.574,11,19,0.579,26,39,65,8,8,8,12,27,113,
Caio Pacheco,MXC,1,16,7,386,39,109,0.358,16,49,0.327,23,60,0.383,0.431,10,13,0.769,8,23,31,52,11,0,27,38,111,
Trayvon Palmer,MCC,28,17,6,352,29,59,0.492,13,28,0.464,16,31,0.516,0.602,6,8,0.75,25,31,56,14,5,4,13,35,80,
Jeremy Pargo,WCB,36,13,5,305,48,126,0.381,12,48,0.25,36,78,0.462,0.429,6,10,0.6,2,21,23,57,10,1,20,15,117,
Elfrid Payton,FWN,27,3,2,94,24,47,0.511,1,9,0.111,23,38,0.605,0.521,2,4,0.5,1,12,13,20,3,1,4,5,52,
Norvel Pelle,FWN,29,11,0,145,21,46,0.457,0,0,,21,46,0.457,0.457,7,11,0.636,20,19,39,5,2,15,12,30,55,
Eli Pemberton,SCW,25,15,7,358,62,109,0.569,19,38,0.5,43,71,0.606,0.656,26,31,0.839,7,37,44,28,7,4,21,36,189,
Jassel Perez,MXC,29,11,0,188,24,55,0.436,8,24,0.333,16,31,0.516,0.509,1,3,0.333,10,11,21,7,10,2,9,22,58,
Reggie Perry,RAP,22,17,13,509,118,264,0.447,16,64,0.25,102,200,0.51,0.477,66,78,0.846,25,95,120,56,17,15,50,55,361,
Roddy Peters,DEL,20,1,0,6,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,2,0,0,1,2,0,
John Petty Jr.,BIR,24,20,1,449,45,123,0.366,32,97,0.33,13,26,0.5,0.496,3,7,0.429,7,39,46,33,17,10,21,26,127,
Jamorko Pickett,CLC,25,17,13,605,101,245,0.412,46,133,0.346,55,112,0.491,0.506,47,55,0.855,23,113,136,39,20,24,47,39,330,
Nate Pierre-Louis,SBL,27,16,0,293,52,83,0.627,5,10,0.5,47,73,0.644,0.657,10,11,0.909,15,44,59,23,15,11,15,34,127,
Kavion Pippen,LIN,26,17,4,274,64,100,0.64,3,6,0.5,61,94,0.649,0.655,7,15,0.467,34,49,83,23,8,16,18,39,142,
Scotty Pippen Jr.,SBL,25,8,0,232,59,116,0.509,16,39,0.41,43,77,0.558,0.578,38,48,0.792,7,23,30,55,11,5,28,28,194,
Daeqwon Plowden,BIR,28,14,0,260,32,81,0.395,12,41,0.293,20,40,0.5,0.469,10,11,0.909,17,19,36,12,7,4,9,18,94,
Jontay Porter,WIS,23,10,8,277,40,117,0.342,15,61,0.246,25,56,0.446,0.406,3,7,0.429,26,86,112,26,7,20,24,32,99,
Micah Potter,SLC,24,6,4,184,31,69,0.449,12,27,0.444,19,42,0.452,0.536,7,11,0.636,16,53,69,14,2,4,10,15,86,
Jason Preston,ONT,29,13,9,415,76,156,0.487,28,66,0.424,48,90,0.533,0.577,15,17,0.882,13,54,67,84,8,2,21,18,202,
Jon Elmore,SXF,27,19,2,460,60,141,0.426,34,87,0.391,26,54,0.481,0.546,6,12,0.5,9,58,67,82,22,12,23,31,166,
Trevelin Queen,FWN,25,12,5,415,104,211,0.493,26,82,0.317,78,129,0.605,0.555,26,27,0.963,14,54,68,46,26,14,42,31,276,
Neemias Queta,STO,23,17,17,470,119,176,0.676,0,4,0,119,172,0.692,0.676,30,36,0.833,54,89,143,39,14,28,36,49,289,
Lester Quinones,SCW,27,18,18,575,120,266,0.451,52,140,0.371,68,126,0.54,0.549,32,40,0.8,28,92,120,90,13,3,57,63,340,
Jahmi'us Ramsey,OKL,21,11,0,305,71,151,0.47,15,46,0.326,56,105,0.533,0.52,26,37,0.703,8,25,33,47,12,2,37,16,202,
Craig Randall II,IWA,27,6,1,188,47,110,0.427,27,71,0.38,20,39,0.513,0.55,5,7,0.714,8,23,31,21,6,1,12,16,128,
Chasson Randle,TOT,29,20,14,611,103,239,0.431,41,119,0.345,62,120,0.517,0.517,24,33,0.727,6,37,43,58,18,3,33,54,289,
Chasson Randle,GRG,29,18,14,567,98,224,0.438,39,111,0.351,59,113,0.522,0.525,23,32,0.719,5,36,41,54,18,3,33,49,276,
Brandon Randolph,TOT,27,17,7,436,87,173,0.503,25,70,0.357,62,103,0.602,0.575,22,33,0.667,21,37,58,28,16,9,18,43,236,
Brandon Randolph,AUS,23,6,6,191,44,88,0.5,14,34,0.412,30,54,0.556,0.58,14,22,0.636,9,20,29,17,10,3,7,15,127,
Brandon Randolph,WIS,23,11,1,245,43,85,0.506,11,36,0.306,32,49,0.653,0.571,8,11,0.727,12,17,29,11,6,6,11,28,109,
Josh Reaves,RGV,25,6,0,146,21,48,0.438,1,11,0.091,20,37,0.541,0.448,6,6,1,4,18,22,23,10,2,15,15,54,
A.J. Reeves,MNE,22,11,2,109,10,41,0.244,10,33,0.303,0,8,0,0.366,0,0,,0,6,6,9,5,0,5,10,30,
Jared Rhoden,MCC,27,18,17,627,115,250,0.46,30,87,0.345,85,163,0.521,0.52,28,34,0.824,32,103,135,33,16,9,22,44,305,
Grant Riller,TEX,25,16,16,487,147,294,0.5,18,55,0.327,129,239,0.54,0.531,50,58,0.862,2,54,56,69,14,2,41,33,388,
Andre Roberson,OKL,31,4,0,60,5,8,0.625,0,3,0,5,5,1,0.625,0,1,0,3,8,11,5,6,2,2,4,10,
Nate Roberts,TOT,27,13,4,173,11,26,0.423,0,1,0,11,25,0.44,0.423,1,3,0.333,16,37,53,8,5,4,8,25,24,
Nate Roberts,MCC,29,4,0,48,3,8,0.375,0,0,,3,8,0.375,0.375,0,1,0,5,11,16,1,2,2,2,8,6,
Nate Roberts,WIS,24,9,4,125,8,18,0.444,0,1,0,8,17,0.471,0.444,1,2,0.5,11,26,37,7,3,2,6,17,18,
Jerome Robinson,SCW,25,11,8,300,53,111,0.477,20,42,0.476,33,69,0.478,0.568,16,17,0.941,12,37,49,52,6,6,29,23,152,
Jeremiah Robinson-Earl,OKL,22,4,4,127,30,45,0.667,6,12,0.5,24,33,0.727,0.733,4,6,0.667,10,19,29,8,3,3,9,9,73,
David Roddy,MHU,21,3,3,103,23,51,0.451,9,23,0.391,14,28,0.5,0.539,7,11,0.636,3,10,13,7,3,0,9,3,65,
Ryan Rollins,SCW,20,9,0,209,61,118,0.517,10,28,0.357,51,90,0.567,0.559,23,26,0.885,10,18,28,25,9,3,24,17,167,
Quinton Rose,WES,25,19,19,520,70,185,0.378,26,89,0.292,44,96,0.458,0.449,11,14,0.786,13,49,62,35,24,9,19,36,187,
Matt Ryan,IWA,25,2,2,67,15,37,0.405,10,22,0.455,5,15,0.333,0.541,6,6,1,2,1,3,7,2,1,5,0,52,
Luka Samanic,MNE,23,16,16,464,134,263,0.51,42,113,0.372,92,150,0.613,0.589,25,32,0.781,29,102,131,22,17,14,40,44,357,
Brandon Sampson,IWA,25,13,7,256,39,83,0.47,16,44,0.364,23,39,0.59,0.566,12,16,0.75,7,26,33,28,11,2,18,14,116,
Jermaine Samuels,FWN,22,20,17,649,150,217,0.691,13,28,0.464,137,189,0.725,0.721,35,64,0.547,50,110,160,47,32,22,43,60,367,
Babacar Sane,GLI,29,17,7,323,43,100,0.43,9,28,0.321,34,72,0.472,0.475,8,16,0.5,22,71,93,13,6,13,23,31,110,
Gui Santos,SCW,28,17,6,426,76,155,0.49,25,76,0.329,51,79,0.646,0.571,17,20,0.85,27,75,102,33,13,7,40,51,208,
Olivier Sarr,OKL,23,7,2,155,32,55,0.582,6,13,0.462,26,42,0.619,0.636,5,8,0.625,19,28,47,9,3,12,10,19,80,
Wesley Saunders,TOT,29,13,0,209,16,35,0.457,0,2,0,16,33,0.485,0.457,6,9,0.667,13,28,41,26,10,0,6,17,42,
Wesley Saunders,ONT,29,6,0,56,2,5,0.4,0,0,,2,5,0.4,0.4,0,1,0,7,4,11,8,1,0,1,3,4,
Wesley Saunders,SCW,29,7,0,153,14,30,0.467,0,2,0,14,28,0.5,0.467,6,8,0.75,6,24,30,18,9,0,5,14,38,
Jordan Schakel,TOT,24,19,7,499,73,165,0.442,45,109,0.413,28,56,0.5,0.579,15,16,0.938,25,59,84,32,10,0,23,41,216,
Jordan Schakel,CCG,24,6,6,128,21,50,0.42,10,28,0.357,11,22,0.5,0.52,4,4,1,3,9,12,9,2,0,5,10,58,
Jordan Schakel,SCW,24,13,1,371,52,115,0.452,35,81,0.432,17,34,0.5,0.604,11,12,0.917,22,50,72,23,8,0,18,31,158,
Admiral Schofield,LAK,25,1,0,21,6,12,0.5,2,5,0.4,4,7,0.571,0.583,2,2,1,1,3,4,2,0,0,1,4,17,
Jay Scrubb,LAK,22,18,18,577,142,309,0.46,40,125,0.32,102,184,0.554,0.524,48,61,0.787,19,85,104,41,18,13,44,33,405,
Dereon Seabron,BIR,28,17,14,523,107,204,0.525,12,28,0.429,95,176,0.54,0.554,43,53,0.811,8,58,66,66,20,4,50,34,296,
Jaden Shackelford,OKL,29,18,13,563,90,228,0.395,58,159,0.365,32,69,0.464,0.522,18,28,0.643,8,44,52,17,13,4,14,39,270,
Day'Ron Sharpe,LIN,21,8,6,229,50,90,0.556,2,9,0.222,48,81,0.593,0.567,9,14,0.643,34,64,98,21,5,15,28,28,118,
Marial Shayok,MNE,27,20,20,644,144,251,0.574,51,102,0.5,93,149,0.624,0.675,47,50,0.94,28,67,95,86,25,7,52,63,410,
Simisola Shittu,LAK,23,7,4,138,35,67,0.522,1,3,0.333,34,64,0.531,0.53,11,22,0.5,27,38,65,9,7,7,9,24,89,
Devontae Shuler,FWN,24,6,0,23,6,13,0.462,1,6,0.167,5,7,0.714,0.5,0,0,,0,1,1,2,0,0,3,2,13,
Chris Silva,CPS,26,11,10,246,58,99,0.586,0,1,0,58,98,0.592,0.586,25,32,0.781,27,57,84,25,5,10,26,38,156,
Kobi Simmons,GBO,25,19,9,593,122,237,0.515,56,132,0.424,66,105,0.629,0.633,32,37,0.865,8,60,68,68,17,3,48,41,353,
Dmytro Skapintsev,WES,29,19,3,328,56,89,0.629,3,13,0.231,53,76,0.697,0.646,21,29,0.724,39,72,111,34,8,15,25,40,152,
Ja’Vonte Smart,BIR,23,21,12,648,113,258,0.438,48,136,0.353,65,122,0.533,0.531,20,21,0.952,14,44,58,68,21,0,43,26,307,
Dru Smith,TOT,25,14,10,467,89,180,0.494,33,84,0.393,56,96,0.583,0.586,17,25,0.68,11,68,79,76,26,7,28,36,238,
Dru Smith,LIN,25,6,2,176,37,67,0.552,18,36,0.5,19,31,0.613,0.687,1,2,0.5,3,31,34,21,9,2,10,19,94,
Dru Smith,SXF,25,8,8,291,52,113,0.46,15,48,0.313,37,65,0.569,0.527,16,23,0.696,8,37,45,55,17,5,18,17,144,
Jai Smith,SXF,20,6,0,27,2,6,0.333,0,1,0,2,5,0.4,0.333,0,0,,5,6,11,3,0,0,2,9,4,
Justin Smith,DEL,26,18,7,393,83,137,0.606,1,4,0.25,82,133,0.617,0.609,7,21,0.333,39,49,88,24,16,12,22,52,180,
Xavier Sneed,GBO,25,19,19,591,80,198,0.404,41,122,0.336,39,76,0.513,0.508,24,30,0.8,16,73,89,40,14,8,30,53,245,
James Southerland III,GLI,26,4,0,38,2,8,0.25,1,4,0.25,1,4,0.25,0.313,1,1,1,0,9,9,0,0,1,1,5,7,
Pat Spencer,SCW,29,4,0,87,11,33,0.333,1,5,0.2,10,28,0.357,0.348,3,5,0.6,5,13,18,17,4,0,9,13,29,
Cassius Stanley,RGV,23,15,2,441,101,164,0.616,18,46,0.391,83,118,0.703,0.671,24,38,0.632,27,38,65,40,12,5,41,29,253,
Noah Starkey,TOT,25,16,9,279,44,84,0.524,3,6,0.5,41,78,0.526,0.542,17,20,0.85,25,60,85,12,5,12,19,37,119,
Noah Starkey,FWN,25,5,0,79,13,24,0.542,0,1,0,13,23,0.565,0.542,4,6,0.667,6,16,22,3,1,2,5,13,32,
Noah Starkey,OKL,25,11,9,200,31,60,0.517,3,5,0.6,28,55,0.509,0.542,13,14,0.929,19,44,63,9,4,10,14,24,87,
DJ Steward,STO,21,20,0,463,87,196,0.444,32,79,0.405,55,117,0.47,0.526,18,21,0.857,14,35,49,87,18,4,46,30,239,
Wayne Stewart,SXF,29,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,
David Stockton,FWN,31,16,16,550,87,182,0.478,27,68,0.397,60,114,0.526,0.552,24,27,0.889,5,39,44,158,25,6,42,62,239,
Cole Swider,SBL,28,14,6,379,74,160,0.463,45,107,0.421,29,53,0.547,0.603,14,16,0.875,12,45,57,24,10,3,12,22,217,
Craig Sword,CCG,29,20,14,465,60,100,0.6,7,25,0.28,53,75,0.707,0.635,17,20,0.85,24,48,72,24,31,17,19,42,155,
Terry Taylor,FWN,23,1,1,34,6,18,0.333,1,6,0.167,5,12,0.417,0.361,2,2,1,2,4,6,3,0,1,0,1,17,
Christian Terrell,STO,29,8,0,57,5,10,0.5,1,5,0.2,4,5,0.8,0.55,0,0,,1,3,4,2,2,1,2,4,11,
Dalen Terry,WCB,20,2,2,70,14,29,0.483,2,7,0.286,12,22,0.545,0.517,2,3,0.667,4,11,15,12,0,4,3,6,34,
Ethan Thompson,WCB,23,19,18,691,112,249,0.45,38,99,0.384,74,150,0.493,0.526,52,61,0.852,14,80,94,72,24,11,32,48,339,
Sam Thompson,SXF,30,19,0,476,61,117,0.521,8,32,0.25,53,85,0.624,0.556,15,18,0.833,26,54,80,31,18,13,19,48,157,
Xavier Tillman Sr.,MHU,24,2,2,51,7,16,0.438,0,3,0,7,13,0.538,0.438,6,7,0.857,6,4,10,9,1,2,3,5,22,
Jeremiah Tilmon,RAP,24,3,0,38,10,14,0.714,0,0,,10,14,0.714,0.714,5,6,0.833,6,6,12,2,0,4,3,14,28,
Isaiah Todd,CCG,21,19,0,375,35,105,0.333,20,72,0.278,15,33,0.455,0.429,9,13,0.692,7,50,57,8,4,16,17,42,106,
Au'Diese Toney,LAK,29,15,2,243,29,51,0.569,3,12,0.25,26,39,0.667,0.598,6,7,0.857,27,17,44,14,3,5,10,34,72,
Austin Trice,CPS,21,3,0,17,1,5,0.2,0,0,,1,5,0.2,0.2,0,1,0,1,6,7,0,0,0,1,1,2,
Jordy Tshimanga,IWA,29,12,9,275,39,64,0.609,0,1,0,39,63,0.619,0.609,9,20,0.45,29,60,89,14,8,16,30,44,95,
Ryan Turell,MCC,20,20,0,288,27,68,0.397,14,48,0.292,13,20,0.65,0.5,7,9,0.778,7,27,34,5,9,1,10,32,79,
Stanley Umude,MCC,30,13,9,343,58,151,0.384,27,74,0.365,31,77,0.403,0.474,14,20,0.7,5,39,44,14,4,8,26,30,166,
Denzel Valentine,MNE,29,12,12,390,58,133,0.436,36,92,0.391,22,41,0.537,0.571,4,6,0.667,11,84,95,75,13,0,32,31,158,
Chandler Vaudrin,CLC,30,18,7,486,45,94,0.479,8,24,0.333,37,70,0.529,0.521,4,14,0.286,24,68,92,74,15,1,33,30,106,
Rashad Vaughn,CLC,26,18,4,511,67,158,0.424,28,88,0.318,39,70,0.557,0.513,10,12,0.833,7,66,73,29,24,5,17,30,178,
Christian Vital,SLC,25,20,8,469,89,201,0.443,48,123,0.39,41,78,0.526,0.562,20,23,0.87,25,61,86,58,13,4,27,44,260,
Chris Walker,CLC,28,3,0,56,8,17,0.471,0,2,0,8,15,0.533,0.471,8,11,0.727,7,9,16,1,1,1,3,7,31,
M.J. Walker,WES,24,2,0,12,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,2,2,0,0,0,0,1,7,
Keaton Wallace,ONT,19,18,18,576,101,211,0.479,38,85,0.447,63,126,0.5,0.569,13,18,0.722,11,59,70,68,30,3,28,39,263,
Davion Warren,CPS,31,11,1,123,22,52,0.423,5,19,0.263,17,33,0.515,0.471,6,10,0.6,4,23,27,2,3,3,8,14,60,
TyTy Washington Jr.,RGV,21,3,3,116,33,71,0.465,13,31,0.419,20,40,0.5,0.556,13,17,0.765,7,11,18,22,5,0,9,4,100,
Peyton Watson,GRG,31,3,3,81,18,36,0.5,2,7,0.286,16,29,0.552,0.528,8,12,0.667,5,17,22,4,1,5,13,9,49,
Romeo Weems,MHU,21,12,1,194,18,45,0.4,3,22,0.136,15,23,0.652,0.433,8,9,0.889,9,25,34,6,7,2,10,23,50,
Blake Wesley,AUS,19,10,10,292,74,174,0.425,16,45,0.356,58,129,0.45,0.471,22,34,0.647,7,30,37,26,18,0,29,22,200,
Isaiah Whaley,GBO,30,19,8,381,55,94,0.585,2,6,0.333,53,88,0.602,0.596,14,27,0.519,35,81,116,15,11,19,17,55,134,
Aaron Wheeler,WCB,20,16,6,287,42,86,0.488,5,30,0.167,37,56,0.661,0.517,11,17,0.647,11,37,48,15,9,9,6,28,106,
Phillip Wheeler,IWA,21,18,5,339,60,105,0.571,5,21,0.238,55,84,0.655,0.595,20,34,0.588,37,46,83,18,10,9,20,34,161,
Fabian White Jr.,SBL,18,14,0,211,46,75,0.613,5,14,0.357,41,61,0.672,0.647,8,14,0.571,25,31,56,13,11,13,13,38,108,
Jack White,GRG,21,6,5,156,34,64,0.531,11,24,0.458,23,40,0.575,0.617,10,12,0.833,14,24,38,10,4,5,9,15,93,
Kahlil Whitney,RGV,22,10,0,147,26,60,0.433,9,25,0.36,17,35,0.486,0.508,3,5,0.6,8,8,16,5,1,2,11,17,67,
Joe Wieskamp,RAP,23,1,1,38,6,9,0.667,4,6,0.667,2,3,0.667,0.889,2,2,1,2,5,7,1,0,1,1,2,19,
Joe Wieskamp,WIS,23,7,2,212,37,81,0.457,22,56,0.393,15,25,0.6,0.593,10,16,0.625,9,33,42,13,5,3,5,10,112,
Aaron Wiggins,OKL,24,1,1,31,6,15,0.4,1,5,0.2,5,10,0.5,0.433,1,2,0.5,1,5,6,8,2,1,4,4,14,
Lindell Wigginton,WIS,24,13,11,467,85,200,0.425,34,95,0.358,51,105,0.486,0.51,41,50,0.82,12,40,52,74,14,5,36,40,273,
Brandon Williams,CPS,23,18,18,559,113,259,0.436,25,75,0.333,88,184,0.478,0.485,49,62,0.79,12,64,76,121,18,7,46,38,328,
Bryson Williams,ONT,26,11,2,136,15,40,0.375,0,6,0,15,34,0.441,0.375,1,5,0.2,8,25,33,3,1,1,8,22,31,
Donovan Williams,TOT,33,21,19,553,113,226,0.5,27,74,0.365,86,152,0.566,0.56,18,30,0.6,19,58,77,26,24,11,35,72,283,
Donovan Williams,CPS,21,12,11,335,65,129,0.504,12,38,0.316,53,91,0.582,0.55,10,17,0.588,15,41,56,15,14,6,20,40,158,
Donovan Williams,LIN,29,9,8,218,48,97,0.495,15,36,0.417,33,61,0.541,0.572,8,13,0.615,4,17,21,11,10,5,15,32,125,
Jaylin Williams,OKL,20,1,1,31,7,11,0.636,1,3,0.333,6,8,0.75,0.682,4,6,0.667,2,12,14,12,3,0,0,3,21,
Jeenathan Williams,SLC,24,21,21,668,122,227,0.537,36,90,0.4,86,137,0.628,0.617,28,33,0.848,37,71,108,45,16,16,39,51,327,
Lucas Williamson,ONT,31,9,2,135,6,28,0.214,5,22,0.227,1,6,0.167,0.304,1,1,1,3,14,17,3,2,3,4,18,19,
Trevion Williams,TOT,26,17,5,312,60,116,0.517,5,19,0.263,55,97,0.567,0.539,7,10,0.7,51,96,147,39,4,6,43,47,137,
Trevion Williams,CCG,30,13,1,232,48,84,0.571,3,8,0.375,45,76,0.592,0.589,5,7,0.714,39,63,102,24,4,3,26,35,107,
Vince Williams Jr.,MHU,21,7,7,218,43,68,0.632,14,33,0.424,29,35,0.829,0.735,14,18,0.778,12,46,58,13,12,5,13,24,123,
Ziaire Williams,MHU,21,2,2,65,15,36,0.417,2,14,0.143,13,22,0.591,0.444,2,3,0.667,2,15,17,8,2,0,3,3,36,
D.J. Wilson,OKL,26,5,4,177,40,77,0.519,10,31,0.323,30,46,0.652,0.584,4,9,0.444,5,39,44,20,3,7,18,14,97,
Jared Wilson-Frame,IWA,29,6,1,139,13,55,0.236,11,43,0.256,2,12,0.167,0.336,0,0,,4,18,22,16,4,0,11,12,37,
Dylan Windler,CLC,26,1,0,5,1,4,0.25,1,3,0.333,0,1,0,0.375,0,0,,0,0,0,0,0,0,0,0,3,
Todd Withers,TEX,26,18,1,413,36,84,0.429,17,52,0.327,19,32,0.594,0.53,7,7,1,23,66,89,20,19,19,15,49,98,
